name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions
Bodrum Turkish Mediterranean,https://www.opentable.com/r/bodrum-turkish-mediterranean-new-york,1,FALSE,1,1047,4.6,4.7,4.5,4.3,4.6,Moderate,100,Upper West Side,"Turkish, Mediterranean, Comfort Food",Casual Elegant,Casual Dress,,"BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Turkish,1,1,1,1,FALSE,4
Nizza - NYC,https://www.opentable.com/r/nizza-nyc-new-york,1,FALSE,1,3202,4.6,4.5,4.6,4.4,4.4,Moderate,100,Midtown West,"Italian, Mediterranean",Casual Dining,Casual Dress,Andy D'Amico,"Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wine",Italian,0,0,0,0,FALSE,0
Cacio e Vino,https://www.opentable.com/r/cacio-e-vino-new-york,1,FALSE,1,818,4.3,4.2,4.1,4.2,4.2,Moderate,89,East Village,"Italian, Sicilian, Pizzeria",Casual Dining,Smart Casual,Giusto Priola,"Bar Dining, Beer, BYO Wine, Chef's Table, Corkage Fee, Counter Seating, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Weekend Brunch, Wine",Italian,1,1,1,1,FALSE,4
NAYA Mezze & Grill,https://www.opentable.com/r/naya-mezze-and-grill-new-york,1,FALSE,1,1563,4.6,4.6,4.5,4.4,4.5,Moderate,100,Midtown East,"Lebanese, Mediterranean, Middle Eastern",Casual Elegant,Casual Dress,Hady Kfoury,"Banquet, Beer, Chef's Table, Delivery, Non-Smoking, Private Room, Weekend Brunch, Wheelchair Access, Wine",Lebanese,0,0,0,0,FALSE,0
House of Lasagna,https://www.opentable.com/r/house-of-lasagna-new-york,1,FALSE,1,316,4.6,4.5,4.6,4.4,4.6,Quiet,100,Murray Hill,"Italian, American",Casual Dining,Business Casual,Jack O'Brien,"Banquet, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Non-Smoking, Outdoor dining, Private Room, Takeout, Wine",Italian,1,1,1,1,FALSE,4
Trattoria Bianca,https://www.opentable.com/trattoria-bianca,1,TRUE,2,843,4.1,4,4,3.8,3.9,Quiet,83,Midtown West,"Italian, Mediterranean",Casual Elegant,Business Casual,Julian Clauss-Ehlers,"Bar Dining, Bar/Lounge, Beer, Full Bar, Late Night, Non-Smoking, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
Madison & Vine,https://www.opentable.com/r/madison-and-vine-new-york,1,TRUE,2,1142,4.3,4.2,4.2,4.3,4.1,Moderate,89,Midtown East,"American, Wine Bar",Casual Elegant,Business Casual,Victor Valadares,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,FALSE,4
Salumeria Rosi,https://www.opentable.com/salumeria-rosi,1,FALSE,2,1212,4.8,4.8,4.7,4.5,4.4,Moderate,100,Upper West Side,Italian,Casual Elegant,Casual Dress,,"Beer, BYO Wine, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
Havana NY,https://www.opentable.com/havana-new-york,1,FALSE,2,1133,4.3,4.4,4.2,4.3,4,Moderate,73,Midtown West,"Cuban, Latin / Spanish",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Cuban,0,0,0,0,FALSE,0
2 Darbar Grill,https://www.opentable.com/2-darbar-grill,1,FALSE,1,355,4.2,4.2,4.2,3.9,4.2,Quiet,92,Midtown East,Indian,Casual Elegant,Casual Dress,Simon Gomes,"Bar Dining, Bar/Lounge, Beer, Fireplace, Full Bar, Non-Smoking, Private Room, Weekend Brunch, Wine",Indian,0,0,0,0,FALSE,0
Macao Trading Company,https://www.opentable.com/macao-trading-company,1,FALSE,2,928,4.7,4.7,4.6,4.6,4.3,Moderate,100,TriBeCa - Downtown,"Chinese, Portuguese",Casual Dining,Business Casual,Felix Garcia,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wine",Chinese,1,1,1,1,FALSE,4
Sinigual - NY,https://www.opentable.com/sinigual-new-york,1,FALSE,1,2215,4.3,4.3,4.2,4.2,4.1,Moderate,88,Midtown East,Mexican,Casual Elegant,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Mexican,0,0,0,0,FALSE,0
1 Nocello,https://www.opentable.com/1-nocello,1,FALSE,2,2322,4.9,4.8,4.9,4.9,4.7,Quiet,100,Midtown West,Italian,Casual Elegant,Smart Casual,,"Banquet, Beer, Cocktails, Corkage Fee, Full Bar, Gluten-free Menu, Non-Smoking, Private Room, Wine",Italian,1,1,1,1,FALSE,4
Bâtard,https://www.opentable.com/r/batard-new-york,1,FALSE,3,1544,4.7,4.7,4.6,4.5,4.4,Moderate,96,TriBeCa - Downtown,"Modern European, Contemporary American, French",Casual Elegant,Smart Casual,Doug Brixton,"Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Modern European,1,1,1,1,FALSE,4
Dhaba,https://www.opentable.com/r/dhaba-new-york,1,FALSE,1,717,4.6,4.7,4.5,4,4.4,Moderate,100,Murray Hill,Indian,Casual Dining,Casual Dress,,"Beer, Delivery, Full Bar, Late Night, Non-Smoking, Takeout, Weekend Brunch, Wine",Indian,0,0,0,0,FALSE,0
Amor Cubano,https://www.opentable.com/amor-cubano,1,FALSE,1,423,4.4,4.3,4.6,4.3,4.3,Moderate,100,Harlem,"Cuban, Latin American",Casual Dining,Casual Dress,David Zarate,"Banquet, Bar Dining, Bar/Lounge, Beer, Entertainment, Full Bar, Happy Hour, Non-Smoking, Private Room, Weekend Brunch, Wheelchair Access, Wine",Cuban,0,0,0,0,FALSE,0
Arno Ristorante,https://www.opentable.com/r/arno-ristorante-new-york-2,1,FALSE,2,1446,4.7,4.6,4.7,4.5,4.3,Moderate,100,Theater District / Times Square,"Italian, Seafood, Grill",Fine Dining,Casual Dress,Luis Uzcha,"Banquet, Bar Dining, Bar/Lounge, Beer, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Private Room, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,FALSE,4
Natsumi Restaurant,https://www.opentable.com/natsumi-restaurant,1,FALSE,2,2020,4.3,4.3,4.3,4.1,4.1,Moderate,100,Theater District / Times Square,"Japanese, Sushi",Casual Elegant,Casual Dress,Chef Haru Konagaya,"Bar/Lounge, Beer, Counter Seating, Entertainment, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,FALSE,4
Faces and Names,https://www.opentable.com/faces-and-names,1,FALSE,1,140,3.9,3.9,3.9,3.8,4.2,Moderate,92,Midtown West,Comfort Food,Casual Dining,Smart Casual,,"Beer, Cocktails, Full Bar, Gender Neutral Restroom, Non-Smoking, Wheelchair Access, Wine",Comfort Food,1,1,1,1,FALSE,4
Benoit Restaurant and Wine Bar,https://www.opentable.com/r/benoit-restaurant-and-wine-bar-new-york,1,FALSE,2,3789,4.6,4.6,4.5,4.5,4.2,Quiet,95,Midtown West,"French, Bistro, Contemporary French / American",Casual Elegant,Casual Dress,LaÃ«titia Rouabah,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Fireplace, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,1,1,1,FALSE,4
Il Melograno,https://www.opentable.com/r/il-melograno-new-york,1,FALSE,1,693,4.8,4.8,4.7,4.6,4.6,Moderate,100,Hell's Kitchen,"Italian, Sicilian",Casual Dining,Casual Dress,,"Beer, Cafe, Cocktails, Gluten-free Menu, Non-Smoking, Outdoor dining, Wine",Italian,1,1,1,1,FALSE,4
Central Park Boathouse,https://www.opentable.com/central-park-boathouse,1,FALSE,2,6454,4.7,4.5,4.6,4.8,4.2,Moderate,93,Midtown East,"American, Seafood",Casual Elegant,Business Casual,John Greeley,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Full Bar, Outdoor dining, Patio/Outdoor Dining, Private Room, Weekend Brunch, Wine",American,1,1,1,1,FALSE,4
Amali,https://www.opentable.com/r/amali-new-york,1,FALSE,2,1223,4.7,4.6,4.6,4.5,4.1,Moderate,95,Upper East Side,"Mediterranean, Greek, Italian",Casual Elegant,Smart Casual,Chef Alex Tubero,"Banquet, Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Entertainment, Fireplace, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wine",Mediterranean,1,1,1,1,FALSE,4
Shun Lee West,https://www.opentable.com/r/shun-lee-west-new-york,1,FALSE,2,2897,4.5,4.4,4.4,4.3,3.9,Moderate,81,Lincoln Square,"Chinese, Asian",Casual Elegant,Smart Casual,Peter Chau,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Takeout, Wine",Chinese,0,0,0,0,FALSE,0
The Smith - East Village,https://www.opentable.com/the-smith-east-village,1,FALSE,1,3700,4.7,4.6,4.5,4.5,4.3,Moderate,95,East Village,American,Casual Dining,Casual Dress,Brian Ellis,"Banquet, Bar Dining, Bar/Lounge, Beer, BYO Wine, Cafe, Corkage Fee, Counter Seating, Delivery, Full Bar, Late Night, Non-Smoking, Outdoor dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Sushi of Gari 46,https://www.opentable.com/sushi-of-gari-46,1,FALSE,3,1572,4.7,4.8,4.7,4.3,4.1,Quiet,100,Theater District / Times Square,"Japanese, Sushi",Fine Dining,Casual Dress,HIROKI TSUBOGUCHI,"Beer, Chef's Table, Counter Seating, Delivery, Kosher, Non-Smoking, Takeout, Wine",Japanese,1,1,1,1,FALSE,4
ilili,https://www.opentable.com/r/ilili-new-york,1,FALSE,2,6512,4.7,4.8,4.7,4.6,4.4,Moderate,92,Gramercy / Flatiron,"Lebanese, Mediterranean, Middle Eastern",Fine Dining,Business Casual, Philippe Massoud,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Lebanese,1,1,1,1,FALSE,4
Serafina at The Time Hotel,https://www.opentable.com/serafina-at-the-time-hotel,1,FALSE,2,660,4.4,4.4,4.4,4.3,4.1,Moderate,100,Theater District / Times Square,"Italian, Breakfast",Casual Dining,Smart Casual,,"Banquet, Bar/Lounge, Cocktails, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Private Room, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,FALSE,4
La Sirene,https://www.opentable.com/r/la-sirene-new-york,1,FALSE,2,1726,4.7,4.7,4.6,4.5,4.4,Quiet,96,SoHo,French,Casual Elegant,Smart Casual,Didier Pawlicki,"Beer, BYO Wine, Cocktails, Corkage Fee, Full Bar, Non-Smoking, Private Room, Wine",French,0,0,0,0,FALSE,0
The Mermaid Inn Uptown,https://www.opentable.com/the-mermaid-inn-uptown,1,FALSE,2,3718,4.8,4.8,4.7,4.6,4.5,Moderate,96,Upper West Side,Seafood,Casual Dining,Casual Dress,Michael Cressotti ,"Beer, BYO Wine, Cafe, Corkage Fee, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Weekend Brunch, Wheelchair Access, Wine",Seafood,1,1,1,1,FALSE,4
Bocca di Bacco (Hell's Kitchen - 54th St.),https://www.opentable.com/r/bocca-di-bacco-hells-kitchen-54th-st-new-york,1,FALSE,1,2158,4.6,4.6,4.5,4.5,4.4,Moderate,86,Hell's Kitchen,Italian,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Late Night, Takeout, Weekend Brunch, Wine",Italian,0,0,0,0,FALSE,0
Market Table,https://www.opentable.com/market-table,1,FALSE,2,2138,4.7,4.6,4.7,4.5,4.2,Moderate,93,West Village,"Contemporary American, Farm-to-table, American",Casual Elegant,Smart Casual,Mike Price,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Contemporary American,1,1,1,1,FALSE,4
Toloache-Midtown,https://www.opentable.com/r/toloache-midtown-new-york,1,FALSE,1,6466,4.5,4.5,4.5,4.3,4.2,Moderate,91,Theater District / Times Square,"Mexican, Contemporary Mexican",Casual Dining,Business Casual,Julian Medina,"Bar/Lounge, Beer, BYO Wine, Corkage Fee, Counter Seating, Delivery, Full Bar, Non-Smoking, Weekend Brunch, Wheelchair Access, Wine",Mexican,0,0,0,0,FALSE,0
Amata,https://www.opentable.com/amata,1,FALSE,2,795,4.9,4.7,4.8,4.6,4.5,Moderate,92,Midtown East,"Italian, Modern Tuscan, Contemporary Italian",Casual Elegant,Business Casual,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Private Room, Takeout, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
The Palm West Side,https://www.opentable.com/r/the-palm-west-side-new-york,1,FALSE,1,6190,4.6,4.6,4.6,4.5,4.1,Moderate,90,Theater District / Times Square,"Steakhouse, Seafood, Italian",Fine Dining,Business Casual,James Holets,"Banquet, Bar Dining, Bar/Lounge, Beer, BYO Wine, Corkage Fee, Full Bar, Happy Hour, Private Room, Wheelchair Access, Wine",Steakhouse,1,1,0,1,FALSE,3
Rosie O'Grady's,https://www.opentable.com/rosie-ogradys,1,FALSE,2,1909,4.3,4.2,4.4,4.4,4,Quiet,100,Midtown West,"American, Steak",Casual Elegant,Smart Casual,,"Banquet, Bar Dining, Bar/Lounge, Fireplace, Full Bar, Gluten-free Menu, Non-Smoking, Private Room, Wheelchair Access",American,0,0,0,0,FALSE,0
Almond,https://www.opentable.com/r/almond-new-york,1,FALSE,2,2605,4.7,4.6,4.6,4.7,4.4,Moderate,100,Gramercy / Flatiron,"Farm-to-table, American, Market Cuisine",Casual Elegant,Casual Dress,Jason Weiner,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Private Room, Weekend Brunch, Wheelchair Access, Wine",Farm-to-table,1,1,1,1,FALSE,4
Copinette,https://www.opentable.com/r/copinette-new-york,1,FALSE,1,596,4.5,4.4,4.4,4.4,4.2,Moderate,90,Midtown East,"American, Seafood, Modern European",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,FALSE,4
Chef's Table at Brooklyn Fare,https://www.opentable.com/r/chefs-table-at-brooklyn-fare-new-york,1,FALSE,3,45,4.9,4.9,4.9,4.9,4.5,Quiet,100,Midtown West,French / Japanese,Fine Dining,Jacket Required,Cesar Ramirez,"Chef's Table, Corkage Fee, Counter Seating, Gender Neutral Restroom, Non-Smoking, Wheelchair Access, Wine",French / Japanese,1,1,1,1,FALSE,4
Shoga Sushi,https://www.opentable.com/r/shoga-sushi-new-york,1,FALSE,1,9,4.4,4.6,4.6,4,4.4,Quiet,83,Upper East Side,Sushi,Casual Dining,Casual Dress,,"Bar Dining, Bar/Lounge, Beer, Cocktails, Non-Smoking, Wine",Sushi,0,0,0,0,FALSE,0
The Theater Buffet,https://www.opentable.com/r/the-theater-buffet-new-york,1,FALSE,1,51,3.9,3.8,4,4.2,3.9,Moderate,80,Theater District / Times Square,"International, American, CafÃ©",Casual Dining,Casual Dress,Randy Chalas,"Banquet, Cafe, Gluten-free Menu, High Tea, Non-Smoking, Wheelchair Access",International,1,0,0,1,FALSE,2
Samwon Garden,https://www.opentable.com/r/samwon-garden-new-york,1,FALSE,2,182,4.6,4.6,4.5,4.5,4.2,Moderate,83,NoMad,"Korean, Barbecue",Casual Dining,Casual Dress,Jefferson Cho,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Korean,0,0,0,0,FALSE,0
P.J. Clarke's-Lincoln Square,https://www.opentable.com/r/pj-clarkes-lincoln-square-new-york,1,FALSE,1,905,4.3,4.1,4.2,4.1,3.8,Moderate,87,Lincoln Square,"American, Burgers, Oyster Bar",Casual Dining,Business Casual,,"Banquet, Bar Dining, Bar/Lounge, Beer, Cocktails, Corkage Fee, Full Bar, Late Night, Non-Smoking, Private Room, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Patsy's Pizzeria - 69th St,https://www.opentable.com/r/patsys-pizzeria-69th-st-new-york,1,FALSE,1,26,4.4,4.4,4.2,4.3,4.1,Moderate,80,Upper East Side,"Pizzeria, Italian",Casual Dining,Casual Dress,,"Bar Dining, Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Late Night, Non-Smoking, Takeout, Wheelchair Access, Wine",Pizzeria,0,0,0,0,FALSE,0
Ophelia,https://www.opentable.com/r/ophelia-new-york,1,FALSE,1,430,4.4,4.2,4.1,4.5,3.9,Moderate,87,Midtown East,American,Casual Elegant,Business Casual,Stephen Putnam,"Banquet, Bar/Lounge, Beer, Cocktails, Full Bar, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, View, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Risotteria Melotti,https://www.opentable.com/r/risotteria-melotti-new-york,1,FALSE,2,318,4.8,4.8,4.8,4.7,4.7,Moderate,96,East Village,"Italian, Vegetarian / Vegan",Casual Dining,Casual Dress,,"Beer, Corkage Fee, Delivery, Gluten-free Menu, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
Aahar Indian Cuisine,https://www.opentable.com/r/aahar-indian-cuisine-new-york,1,FALSE,1,7,4.3,4.2,4.4,3.8,4.3,Quiet,100,TriBeCa - Downtown,Indian,Casual Dining,Casual Dress,,"Beer, Delivery, Gender Neutral Restroom, Gluten-free Menu, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Indian,1,1,1,1,FALSE,4
Nusr-Et Steakhouse New York,https://www.opentable.com/r/nusr-et-steakhouse-new-york,1,FALSE,3,1926,4.7,4.7,4.7,4.7,4.2,Moderate,94,Midtown West,"Steakhouse, Steak",Casual Elegant,Smart Casual,Nusret Gokce,"Bar/Lounge, Beer, Chef's Table, Cocktails, Entertainment, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Steakhouse,1,1,1,1,FALSE,4
Codino,https://www.opentable.com/r/codino-new-york,1,FALSE,1,13,4,4.1,3.8,4,3.9,Moderate,100,West Village,"Wine Bar, Italian",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Late Night, Non-Smoking, Takeout, Wheelchair Access, Wine",Wine Bar,1,1,1,1,FALSE,4
Zoe Restaurant and Bar Lounge,https://www.opentable.com/r/zoe-restaurant-and-bar-lounge-new-york,1,FALSE,1,0,,,,,,,,Washington Heights,"Latin American, Italian, Caribbean",Casual Dining,Business Casual,,,Latin American,0,0,0,0,FALSE,0
Curry House,https://www.opentable.com/r/curry-house-new-york,1,FALSE,1,1,4.8,4.6,4.8,4.6,4.8,Moderate,100,Lower East Side,Indian,Casual Dining,Casual Dress,Firoz Alam,,Indian,0,0,0,0,FALSE,0
Terra Wine Bar,https://www.opentable.com/r/terra-wine-bar-new-york,1,FALSE,1,15,4.6,4.5,4.2,4.6,4.4,Moderate,83,TriBeCa - Downtown,Wine Bar,Casual Dining,Business Casual,Roberto Passon,,Wine Bar,0,0,0,0,FALSE,0
LENA,https://www.opentable.com/r/lena-new-york,1,FALSE,1,107,4.5,4.5,4.4,4.4,4.3,Moderate,100,Lower East Side,"French, Wine Bar, Basque",Casual Elegant,Smart Casual,pierre,"Beer, Cocktails, Counter Seating, Delivery, Happy Hour, Non-Smoking, Weekend Brunch, Wine",French,1,1,1,1,FALSE,4
Mimmo Cucina Italiana,https://www.opentable.com/r/mimmo-cucina-italiana-new-york,1,FALSE,2,58,4,4.1,3.9,3.9,3.9,Moderate,84,Upper East Side,"Italian, American",Casual Dining,Casual Dress,Chef Mimmo,"Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Fireplace, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Italian,1,0,0,0,FALSE,1
The Ainsworth- East Village,https://www.opentable.com/r/the-ainsworth-east-village-new-york,1,FALSE,1,67,4.4,4.2,4.1,4.2,4.1,Moderate,100,East Village,"American, Bar / Lounge / Bottle Service, Burgers",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Doylers 37 NYC,https://www.opentable.com/r/doylers-37-new-york,1,FALSE,1,17,4.1,3.9,4,3.8,3.9,Quiet,81,Theater District / Times Square,"Irish, Gastro Pub",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Beer Garden, Chef's Table, Cocktails, Counter Seating, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Irish,0,0,0,0,FALSE,0
The Stinger Cocktail Bar and Kitchen,https://www.opentable.com/r/the-stinger-cocktail-bar-and-kitchen-new-york,1,FALSE,2,21,3.8,3.8,3.7,3.8,3.4,Moderate,56,Theater District / Times Square,"American, Lounge, Tapas / Small Plates",Casual Dining,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Fireplace, Full Bar, Late Night, Non-Smoking, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Kiwi Cuba,https://www.opentable.com/r/kiwi-cuba-new-york,1,FALSE,1,6,4.7,4.2,4.7,4.4,4.4,Quiet,100,South Street Seaport,"American, Cuban, New Zealand",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Dancing, Delivery, Entertainment, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
SoHo Park - Hell's Kitchen,https://www.opentable.com/r/soho-park-hells-kitchen-new-york,1,FALSE,1,1033,4.2,4.2,4.1,4.2,4.1,Quiet,91,Hell's Kitchen,"American, Breakfast, Burgers",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Beer Garden, Cafe, Cocktails, Counter Seating, Delivery, Full Bar, Happy Hour, Late Night, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
MIFUNE New York,https://www.opentable.com/r/mifune-new-york,1,FALSE,2,385,4.9,4.8,4.9,4.7,4.7,Moderate,94,Midtown East,"French / Japanese, Creative Japanese, Japanese Speciality",Casual Elegant,Smart Casual,"Chef Yuu Shimano, Chef Tomohiro Urata","Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",French / Japanese,1,1,1,1,FALSE,4
Shochu and Tapas AYA,https://www.opentable.com/r/shochu-and-tapas-aya-new-york,1,FALSE,2,14,4.3,4.2,4.2,4,4.1,Moderate,67,Midtown East,"Tapas / Small Plates, Japanese, Italian",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Wine",Tapas / Small Plates,0,0,0,0,FALSE,0
Mezzanine,https://www.opentable.com/r/mezzanine-new-york,1,FALSE,2,7,4.1,4.2,4,4.2,3.3,Quiet,89,SoHo,"Contemporary American, Contemporary French / American",Fine Dining,Jacket Preferred,,"Beer, Cocktails, Full Bar, Happy Hour, Non-Smoking, Private Room, Wheelchair Access, Wine",Contemporary American,0,0,0,0,FALSE,0
Yves,https://www.opentable.com/r/yves-new-york,1,FALSE,2,125,4.5,4.4,4.4,4.5,4.2,Moderate,94,TriBeCa - Downtown,French,Casual Elegant,Casual Dress,Colleen Dalton,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",French,1,1,1,1,FALSE,4
Aria - West Village,https://www.opentable.com/r/aria-west-village-new-york,1,FALSE,1,22,4.6,4.5,4.5,4.5,4.5,Moderate,100,West Village,Unspecified,Casual Dining,Business Casual,Roberto Passon,,Unspecified,0,0,0,0,FALSE,0
The Loyal,https://www.opentable.com/r/tbd-289-bleeker-new-york,1,FALSE,2,563,4.8,4.8,4.7,4.7,4.5,Moderate,100,West Village,American,Casual Elegant,Casual Dress,Johnâ âFraser ,"Bar/Lounge, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access",American,1,1,1,1,FALSE,4
SoHo Park - Downtown,https://www.opentable.com/r/soho-park-new-york,1,FALSE,1,337,4.7,4.7,4.6,4.7,4.7,Quiet,97,SoHo,"American, Burgers, Beer Garden",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Beer Garden, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
Montebello Ristorante Italiano,https://www.opentable.com/r/montebello-ristorante-italiano-new-york,1,TRUE,2,705,4.8,4.7,4.9,4.5,4.4,Moderate,100,Midtown East,Italian,Fine Dining,Smart Casual,,"Banquet, Bar Dining, Full Bar, Non-Smoking, Private Room, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
